"Request","model","Lat","Long","boxid","sampleid","reachid","station","location","SampleDate","UID","SiteCode","MasterCode","state","rolled","SiteID2","NEAR_FID","NEAR_DIST","NEAR_X","NEAR_Y","POINT_X","POINT_Y","DOY","ELEV_SITE","NHDSLOPE","ECO3","ECO4","TMAXPT","TMAX_AVE","TMEAN_AVE","TMIN_AVE","RH_AVE","TMEANPT","MEANP_AVE","MAXP_AVE","MAXWD_AVE","FST32F_AVE","EVI_MAX_AVE","ELEV_MIN","ELEV_MEAN","DD_LAT_Y","SQ_KM","TMAX_PT","LOG_LT_PPT_PT","Sq_km","LOG_KM2","ELVmean_WS","ELVmin_WS","KFCT_WS","PMIN_WS","RH_WS","TMAX_WS","TMEAN_PT","TMEAN_WS","PMIN_PT","WSA_SQKM","ELVmax_WS","precip","temp","east","elev_sqrt","ELEV_WS","Lat_Dec","LOG_XP_PT","Long_Dec","PRCPSHORTWS","SQRT_TOPO","SUMMER","WINTER","ClimateE","MetricE","GRIDCODE","ShedAreakm","AreaHect","SprgNum_WS","MINEnum_WS","DAMnum_WS","DAMvol_WS","StreamDens","BLMPct","PrivPct","HydrAlt_km","RdDens","Urban_WS","AG_WS","Psum_PT","Psum_WS","AreaKM","daynum","FID","qc_site","EVI_MAX_AV","OBJECTID","Long_","sampdate","SlopeE","PRCPSHORTW","Priority_s","Bug_model","WQ_model","OLD_UID","Existing_w","Project","Rolled"
3,"CO_MMI",37.8148,-106.297997,1852,164741,"FR-TR-003","FR-TR-003","La Garita Creek","7/25/2016","7637FB10-7F6F-4BF6-8F46-F6404CAEBA77",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,207,2422,0.015,22,"22a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.889,-105.533997,1852,164742,"FR-TR-004","FR-TR-004","Balm of Gilead","8/19/2016","385D4F60-22AB-4FC4-99E4-BFDDF6E69DC3",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,232,2723.5,0.073,21,"21j",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.887501,-105.568001,1852,164743,"FR-TR-005","FR-TR-005","Pruden Creek","8/9/2016","FB7D15DE-47E0-417E-A7EC-8E4183E6070F",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,222,2784.9,0.065,21,"21j",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.3717,-105.588997,1852,164744,"FR-TR-006","FR-TR-006","Texas Creek","8/4/2016","9F7E2D60-28AC-4EE2-9DF6-F8A515519C71",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,217,2025,0.026,21,"21d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.480099,-105.859001,1852,164745,"FR-TR-007","FR-TR-007","Badger Creek","8/5/2016","94E416AC-065C-4BA1-A67E-B527DE60D9A1",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,218,2107,0.025,21,"21d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.877499,-106.128998,1852,164746,"FR-TR-008","FR-TR-008","Fourmile Creek","8/6/2016","577F1B04-1638-444B-83B3-9B1E414B883F",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,219,2497,0.038,21,"21d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",39.299198,-106.208,1852,164747,"FR-TR-009","FR-TR-009","Birdseye Gulch","8/20/2016","8A04E087-BEDB-4A92-900B-B62DC747E54A",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,233,3299,0.081,21,"21e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.521,-106.164002,1852,164748,"FR-TR-010","FR-TR-010","Green Creek","8/7/2016","CDAD1829-A31F-490D-AADC-DA2F10F87B27",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,220,2470,0.046,21,"21d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.656799,-105.815002,1852,164749,"FR-TR-012","FR-TR-012","Badger Creek","8/24/2016","E51D5B9F-3665-475B-95A8-10CBFEDA2C21",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,237,2693,0.023,21,"21f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.336498,-105.962997,1852,164750,"FR-TR-013","FR-TR-013","Eagle Creek","9/13/2016","A2116FEE-0E61-4D0D-9C96-403CD6953031",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,256,2570,0.135,22,"22a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.349899,-105.981003,1852,164751,"FR-TR-014","FR-TR-014","Nieland Creek","9/14/2016","9E13E1D6-C894-4463-BFD1-64E72CB061D4",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,257,2586,0.165,22,"22a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.355099,-105.991997,1852,164752,"FR-TR-015","FR-TR-015","Rock Creek","9/16/2016","214837C7-4368-4287-B04E-665683AA0688",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,259,2587,0.046,22,"22a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.711399,-105.269997,1852,164753,"FR-TR-016","FR-TR-016","Little High Creek","8/22/2016","79AE71B8-95AB-4A6D-B53E-4DC56F0DEADF",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,235,2333,0,21,"21d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",40.082001,-106.397003,1852,164754,"NW-TR-001","NW-TR-001","Muddy Creek","8/3/2016","0F7AE5A2-7C52-41D2-921B-CC1B849FC371",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,216,2234,0,21,"21i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",40.9291,-106.012001,1852,164755,"NW-TR-002","NW-TR-002","Grace Creek","8/7/2016","170FCED6-DE4E-4EAE-A0DC-84D22FC3AEB5",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,220,2416.5,0.026,18,"18f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",40.613701,-106.185997,1852,164756,"NW-TR-003","NW-TR-003","Spring Creek","8/8/2016","FF4FDB01-D977-417C-8D65-D379A177D0EB",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,221,2520.5,0.005,21,"21i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"CO_MMI",38.7342,-107.815002,1852,164757,"SW-TR-002","SmithGunnCO","Smith Fork of the Gunnison River","8/17/2016","E37E0DDE-03A2-4269-AB67-CFF34382AD3A",NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,230,1658,0.034,20,"20c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"UTDEQ15",38.7467995,-110.1460037,1901,164635,"SANRAFMWRIF","SANRAFMW","San Rafael River","10/5/2015",NA,NA,NA,"UT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,299.6900024,82.5139999,-107.3649979,51.4350014,118,325.7539978,38.5390015,6.3720002,271.5859985,1995.380005,1227.5,1954.459961,38.7467995,6246.490234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"OR_WCCP",42.8362999,-123.5049973,1908,164253,"M7.9","M7.9","Middle Creek","6/14/2017",NA,NA,NA,"OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194,161,0,20.54263858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"OR_WCCP",42.8336983,-123.4120026,1908,164254,"SF7.0","SF3.0","South Fork Middle Creek","6/13/2017",NA,NA,NA,"OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1448,160,0,23.89560629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"OR_WCCP",42.8624001,-123.435997,1908,164255,"Brush Creek REF","BRUSH_REF","Brush Creek","6/14/2017",NA,NA,NA,"OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1448,166,0,23.85372088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"OR_WCCP",42.8473015,-123.4369965,1908,164256,"M3.1","M3.1","Middle Creek","6/14/2017",NA,NA,NA,"OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1397,160,0,22.22611077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"OR_WCCP",42.8469009,-123.4339981,1908,164257,"M3.0","M3.0_1","Middle Creek","6/14/2017",NA,NA,NA,"OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1397,160,0,22.22611077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
