"*Standardized to OTU and fixed count, see Metadata for details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleID,Station (NAMC),Station (Customer),Waterbody,County,State,Latitude,Longitude,Collection Date,Habitat Sampled ,Collection Method,Field Notes,Lab Notes,Area sampled (m^2),Field Split,Lab Split,Split Count,Fixed Count,Big Rare Count,Richness*,Abundance,Shannon's Diversity*,Simpson's Diversity*,Evenness*,# of EPT Taxa*,EPT Taxa Abundance,Dominant Family,Abundance of Dominant Family,Dominant Taxa,Abundance of Dominant Taxa,Hilsenhoff Biotic Index*,# of Intolerant Taxa*,Intolerant Taxa abundance,# of Tolerant Taxa*,Tolerant Taxa abundance,USFS Community Tolerance Quotient (d)*,# of shredder taxa*,Shredder Abundance,# of scraper taxa*,Scraper abundance,# of collector-filterer taxa*,Collector-filterer abundance,# of collector-gatherer taxa*,Collector-gatherer abundance,# of predator taxa*,Predator abundance,# of clinger taxa*,Long-lived Taxa*,# of Ephemeroptera taxa*,Ephemeroptera abundance,# of Plecoptera taxa*,Plecoptera abundance,# of Trichoptera taxa*,Trichoptera abundance,# of Coleoptera taxa*,Coleoptera abundance,# of Elmidae Taxa*,Elmidae abundance,# of Megaloptera taxa*,Megaloptera abundance,# of Diptera taxa*,Diptera abundance,# of Chironomidae taxa*,Chironomidae abundance,# of Crustacea taxa*,Crustacea abundance,# of Oligochaete taxa*,Oligochaete abundance,# of Mollusca taxa*,Mollusca abundance,# of Insect taxa*,Insect abundance,# of Non-insect taxa*,Non-insect abundance
168497,CAJAK-1068,2018CAJAK1068,CAJAK-1068,Klamath,CA,41.68057,-123.578,7/14/2018,Targeted Riffle,Kick net,"Updated County from ""Klamath"" to ""Siskiyou""",NULL,0.74,100,68.75,599,300,3,29,1181,2.25897135,0.811125975,0.670856219,14,353,Chironomidae,638,Orthocladiinae,399,4.756666667,10,111,0,0,75,2,20,4,62,2,22,6,913,11,134,12,3,7,292,2,41,5,20,1,45,1,10,0,0,12,770,4,638,0,0,0,4,0,0,27,1168,2,14
168498,CAPER-1003,2018CAPER1003,CAPER-1003,Curry,OR,42.01601884,-123.947367,6/28/2018,Targeted Riffle,Kick net,"Updated County from ""Del Norte"" to ""Curry""",NULL,0.74,100,100,126,119,0,24,170,2.414080648,0.852015382,0.759609741,15,135,Baetidae,51,Baetis,51,3.336134454,9,43,1,1,55,3,5,9,49,0,0,4,93,3,9,17,7,8,119,4,12,3,4,5,24,4,12,0,0,3,9,2,7,0,0,0,0,0,0,24,170,0,0
168499,CAPER-1004,2018CAPER1004,CAPER-1004,Del Norte,CA,41.9936,-123.935,7/3/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,47,22,0,9,64,2.09827374,0.909090909,0.954965533,3,35,Leptophlebiidae,24,Leptophlebiidae,24,2.954545455,3,32,0,0,76,2,5,1,3,0,0,1,28,2,20,3,3,0,24,3,11,0,0,3,7,1,3,0,0,2,9,2,9,0,0,0,0,0,0,8,61,1,3
168500,CAPER-1011,2018CAPER1011,CAOER-1011,Del Norte,CA,41.9868,-123.986,7/1/2018,Targeted Riffle,Kick net,"Database had Waterbody Name misspelled as ""CAOER-1011"". Not sure if that was just on our end or is reflected in the Bug Lab database, as well.",NULL,0.74,100,100,36,29,0,8,49,1.84792602,0.84729064,0.888664568,0,4,Chironomidae,27,Orthocladiinae,9,4.344827586,0,4,0,0,103,0,0,0,0,1,1,2,22,4,26,0,2,0,4,0,0,0,0,2,5,0,0,0,0,4,28,3,27,0,0,0,0,0,0,7,46,1,3
168501,CAPER-1018,2018CAPER1018,CAPER-1018,Del Norte,CA,42.01585,-123.94651,6/29/2018,Targeted Riffle,Kick net,"Updated Latitude and Longitude from ""41.9873 -123.9333"" to ""42.01568246 -123.9465044"". Updated County from ""Del Norte"" to ""Curry"".",NULL,0.74,100,100,207,186,0,28,280,2.672963898,0.902237722,0.802160819,17,195,Peltoperlidae,49,Yoraperla,49,2.634408602,7,103,0,0,59,3,96,7,49,4,15,5,76,3,18,15,6,6,51,3,68,8,76,5,35,4,15,0,0,4,43,3,42,0,0,0,0,0,0,27,276,1,4
168502,CAPER-1021,2018CAPER1021,CAPER- 1021,Del Norte,CA,41.9529,-124.0135,7/2/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,203,152,0,23,274,2.483512648,0.874869292,0.792064178,14,182,Nemouridae,53,Malenka,53,3.026315789,8,124,1,1,64,1,1,3,64,2,20,6,73,5,53,12,7,7,78,3,76,4,28,3,55,2,5,0,0,3,24,3,24,0,0,0,0,0,0,22,268,1,7
168503,CAPER-1038,2018CAPER1038,CAPER-1038,Del Norte,CA,41.9818,-124.0259,6/30/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,261,241,0,31,353,2.526371089,0.846922545,0.735696128,21,200,Chironomidae,123,Orthocladiinae,112,3.651452282,12,128,0,0,54,4,43,4,22,3,15,8,222,6,28,11,6,9,105,8,80,4,15,2,3,1,1,0,3,6,138,3,123,0,0,0,3,0,0,29,343,2,9
168504,CASHY-1001,2018CASHY1001,Shelly Creek,Del Norte,CA,41.86739,-123.87443,7/12/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,276,266,0,26,373,2.442437064,0.873826075,0.749651533,20,246,Chironomidae,119,Chironominae,82,3.631578947,11,96,0,0,46,3,32,5,43,2,19,6,207,5,46,16,5,6,130,6,61,8,55,2,3,1,1,0,0,3,123,2,119,0,0,0,0,0,0,25,372,1,1
168505,CASHY-1009,2018CASHY1009,Shelly Creek,Del Norte,CA,41.85419,-123.85125,7/17/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,325,280,0,36,439,2.535920452,0.86187916,0.707662076,23,291,Baetidae,112,Baetis,112,3.032142857,16,105,1,1,59,5,8,8,150,1,9,6,164,8,43,19,9,6,174,7,55,10,61,5,95,4,26,0,0,6,43,3,38,0,0,0,3,0,0,34,428,2,11
168506,CASHY-1016,2018CASHY1016,Shelly Creek,Del Norte,CA,41.89485,-123.80909,7/14/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,585,300,0,38,791,2.884210328,0.910724638,0.792891275,26,422,Chironomidae,232,Orthocladiinae,138,3.85,18,272,0,0,59,3,26,8,54,4,103,7,353,9,149,23,10,8,134,5,150,13,138,5,46,4,18,1,9,4,291,2,232,0,0,0,5,0,1,36,770,2,20
168507,CASHY-1018,2018CASHY1018,CASHY-1018,Del Norte,CA,41.9673,-123.7904,7/15/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,358,297,0,33,484,2.753824462,0.901151151,0.787592881,21,351,Baetidae,126,Baetis,93,3.494949495,13,161,1,3,60,6,58,4,73,3,8,5,242,7,74,15,9,7,238,8,80,6,34,4,18,4,15,1,1,5,103,3,95,0,0,0,0,0,0,32,474,1,9
168508,CASHY-1019,2018CASHY1019,CASHY-1019,Del Norte,CA,41.8743,-123.8801,7/17/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,0,0,0,0,0,0,0,0,0,0,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168509,CASHY-1020,2018CASHY1020,CASHY-1020,Del Norte,CA,41.83763,-123.8182,7/13/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,503,300,0,37,680,3.136879284,0.947068004,0.868720741,24,508,Ephemerellidae,93,Drunella doddsii,85,2.12,16,368,0,0,52,6,78,7,212,1,4,8,143,9,174,17,8,8,209,7,135,9,164,5,32,4,19,0,0,6,100,3,82,0,0,0,0,0,0,35,641,1,39
168510,CASMV-1001,2018CASMV1001,South Fork Salmon River,Siskiyou,CA,41.09383,-123.11602,6/29/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,218,203,0,32,295,2.516002091,0.865873287,0.725964748,25,258,Ephemerellidae,73,Baetis,68,2.57635468,14,127,0,0,42,5,26,5,82,4,12,4,131,5,19,15,8,9,199,10,42,6,18,3,18,3,18,0,0,3,16,1,12,0,0,0,3,0,0,31,292,1,3
168511,CASMV-1003,2018CASMV1003,South Fork Salmon River,Siskiyou,CA,41.12121,-123.0058,7/1/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,422,300,0,39,570,2.824906975,0.898015608,0.771082146,25,373,Chironomidae,147,Orthocladiinae,124,3.64,15,128,1,1,48,7,100,5,43,4,91,8,262,7,54,20,9,9,164,9,85,7,124,5,34,5,22,0,0,8,157,3,147,0,0,0,0,0,0,38,564,1,7
168512,CASMV-1006,2018CASMV1006,CASMV-1006,Del Norte,CA,41.1049,-123.1173,6/28/2018,Targeted Riffle,Kick net,"Updated County from ""Del Norte"" to ""Siskiyou""",NULL,0.74,100,100,172,159,0,24,232,2.698580561,0.909402118,0.849129909,18,199,Nemouridae,59,Zapada columbiana/oregonensis group,32,2.220125786,10,132,0,0,41,6,84,4,36,2,11,5,55,4,31,8,3,5,61,7,108,6,30,0,0,0,0,0,0,5,31,2,22,0,0,0,0,0,0,23,230,1,3
168513,CASMV-1009,2018CASMV1009,CASMV-1009,Siskiyou,CA,41.0898,-123.0934,6/29/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,487,300,0,40,658,2.92087696,0.914381271,0.79180602,29,495,Baetidae,134,Baetis,132,2.676666667,17,157,0,0,46,4,93,8,107,3,23,8,368,8,27,21,7,11,338,9,112,9,45,2,24,2,18,1,1,6,62,3,47,0,0,0,72,0,0,38,582,1,76
168514,CASMV-1010,2018CASMV1010,South Fork Salmon River,Siskiyou,CA,41.09734,-123.10857,6/28/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,218,205,0,38,295,3.118235906,0.943328551,0.85722668,26,228,Peltoperlidae,41,Yoraperla,38,2.136585366,15,139,0,0,49,6,92,6,35,3,5,8,104,7,31,17,8,12,116,8,89,6,23,3,27,1,23,1,1,6,28,3,22,0,0,0,0,0,0,36,285,1,9
168515,CASMV-1011,2018CASMV1011,CASMV-1011,Siskiyou,CA,41.0951,-123.0418,6/30/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,251,234,0,32,339,2.619773523,0.887715051,0.755906854,22,249,Ephemerellidae,91,Drunella doddsii,66,3.08974359,16,149,0,0,52,6,26,4,82,2,4,9,174,5,15,16,3,10,195,5,31,7,23,3,23,3,23,0,1,6,65,3,59,0,0,0,0,0,0,31,338,1,1
168516,ORSUM-1002,2018ORSUM1002,Summit Creek,Klamath,OR,43.48356,-122.05235,7/5/2018,Targeted Riffle,Kick net,"Updated Latitude and Longitude from ""41.33661 -121.9611"" to ""41.34436 -121.96497""",NULL,0.74,100,100,74,56,0,14,100,2.228520887,0.848701299,0.844438225,10,58,Chironomidae,39,Orthocladiinae,27,4.071428571,7,32,0,0,58,2,26,1,7,0,0,4,42,5,26,5,1,3,11,5,23,2,24,0,0,0,0,0,0,4,42,3,39,0,0,0,0,0,0,14,100,0,0
168517,CAUBB-1002,2018CAUBB1002,Upper Black Butte River,Glenn,CA,39.62566,-122.84177,7/27/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,448,300,0,32,605,2.739356856,0.898305463,0.79041131,18,351,Lepidostomatidae,153,Lepidostoma,153,2.56,12,274,1,3,69,2,154,7,134,2,12,9,115,7,99,17,7,6,69,4,69,8,214,5,130,4,49,0,0,5,84,3,57,1,1,0,0,0,0,30,572,2,34
168518,CAUBB-1006,2018CAUBB1006,Upper Black Butte River,Glenn,CA,39.66067,-122.94322,7/29/2018,Targeted Riffle,Kick net,"Updated County from ""Glenn"" to ""Mendocino""",NULL,0.74,100,100,469,300,0,33,634,2.788435587,0.911906355,0.797491651,18,381,Heptageniidae,99,Heptageniidae,93,2.243333333,10,230,1,1,62,2,95,6,251,1,4,6,70,9,95,16,11,7,176,5,81,6,124,8,161,4,34,0,0,4,36,3,28,0,0,0,0,0,0,32,609,1,24
168519,CAUBB-1008,2018CAUBB1008,Upper Black Butte River,Glenn,CA,39.64761,-122.97329,7/30/2018,Targeted Riffle,Kick net,"Updated County from ""Glenn"" to ""Mendocino""",NULL,0.74,100,100,729,300,0,29,985,2.726908329,0.916432553,0.809821431,13,528,Chironomidae,204,Eubrianax edwardsii,130,2.843333333,9,388,0,0,63,4,122,5,361,0,1,5,291,9,143,7,8,4,309,3,96,6,123,5,186,2,19,1,4,6,220,3,204,0,0,0,0,0,0,28,946,1,39
168520,CAUBB-1011,2018CAUBB1011,Upper Black Butte River,Glenn,CA,39.58812,-122.82423,7/28/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,37.5,712,300,8,37,2577,2.822994762,0.914849498,0.781794222,19,1656,Chironomidae,505,Paraleptophlebia,389,2.876666667,11,1155,0,4,59,4,559,8,494,1,7,6,967,13,503,14,6,5,866,3,481,11,309,3,198,2,72,1,25,9,592,3,505,0,0,0,0,0,0,36,2526,1,50
168521,ORBUL-1005,2018ORBUL1005,ORBUL-1005,Multnomah,OR,45.50509,-122.071,9/9/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,229,211,0,22,309,1.859534959,0.722545701,0.601588295,18,277,Heptageniidae,145,Epeorus,138,3.355450237,10,73,0,0,40,3,11,5,42,1,3,7,228,4,22,14,3,8,235,3,16,7,26,0,0,0,0,0,0,3,28,2,27,0,0,0,0,0,0,21,305,1,4
168522,ORBUL-1011,2018ORBUL1011,ORBUL-1011,Multnomah,OR,45.514,-122.035,9/11/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,380,300,0,9,514,0.492974747,0.182831661,0.224362476,7,505,Baetidae,457,Baetis,457,3.88,2,31,0,0,57,1,3,1,3,0,0,5,489,0,11,5,1,3,478,0,3,4,24,1,5,1,5,0,0,1,3,1,3,0,0,0,0,0,0,9,514,0,0
168523,ORBUL-1013,2018ORBUL1013,ORBUL-1013,Multnomah,OR,45.51026,-122.085,9/6/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,475,300,0,20,642,2.181998643,0.846153846,0.728369041,13,476,Nemouridae,164,Yoraperla,96,2.226666667,11,332,0,0,52,5,280,0,1,2,42,4,205,6,91,7,4,2,107,7,285,4,84,1,14,1,9,0,0,5,120,3,118,0,0,0,1,0,0,19,609,1,32
168524,ORBUL-1020,2018ORBUL1020,ORBUL-1020,Multnomah,OR,45.49258,-122.062,9/7/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,167,160,0,29,226,2.470514664,0.844732704,0.733679127,22,201,Baetidae,78,Baetis,74,2.8625,13,80,0,0,50,4,46,5,38,3,19,5,97,8,18,13,3,7,100,7,54,8,47,0,0,0,0,0,0,5,20,2,15,0,0,0,0,0,0,28,223,1,3
168525,2018ORBUL1022,2018ORBUL1022,Middle Bull Run River,Multnomah,OR,45.527423,-122.010742,9/10/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,102,77,0,20,138,2.634554996,0.923103213,0.879436063,15,101,Chironomidae,32,Hydatophylax hesperus,15,3.12987013,9,43,0,0,47,5,46,3,19,0,0,6,58,5,12,6,2,5,43,6,22,4,36,0,0,0,0,0,0,4,34,3,32,0,0,0,0,0,0,20,136,0,1
168526,ORBUL-1023,2018ORBUL1023,ORBUL-1023,Multnomah,OR,45.49717,-122.033,9/8/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,62.5,797,300,5,38,1730,2.260760855,0.73580825,0.621500291,26,1315,Baetidae,869,Baetis,832,3.513333333,16,321,0,0,55,4,84,4,105,2,19,14,1304,8,181,21,5,11,1065,3,93,12,157,4,41,3,15,1,2,6,315,3,262,0,0,0,0,0,0,37,1674,1,56
168527,ORSUM-1010,2018ORSUM1010,Summit Creek,Klamath,OR,43.48009,-122.045,7/18/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,79,75,0,13,107,2.220460524,0.878198198,0.86569371,7,76,Leptophlebiidae,24,Paraleptophlebia,24,2.506666667,5,62,0,0,59,0,8,1,26,0,0,4,41,6,32,2,0,4,51,3,22,0,3,0,3,0,0,0,0,5,23,3,20,0,0,0,0,0,0,13,107,0,0
168528,ORDMT-1010,2018ORDMT1010,ORDMT-1010,Douglas,OR,43.0904,-122.8167,6/28/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,50,610,300,0,38,1649,2.764507553,0.902809365,0.759984075,23,1095,Peltoperlidae,322,Yoraperla,322,2.773333333,16,497,0,0,56,4,373,8,143,3,24,7,570,8,300,22,12,9,314,7,611,7,170,7,149,6,57,0,0,6,351,3,303,0,0,0,0,1,3,36,1595,2,54
168529,ORDMT-1012,2018ORDMT1012,ORDMT-1012,Douglas,OR,43.0724,-122.8845,7/3/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,375,261,0,39,507,3.161006891,0.947391689,0.862823448,25,361,Ephemerellidae,81,Ephemerellidae,76,2.954022989,17,231,1,1,56,7,66,4,35,3,45,6,168,12,107,17,7,7,147,9,131,9,82,3,36,2,35,0,0,9,95,3,50,0,0,0,4,0,0,37,492,2,15
168530,ORDMT-1013,2018ORDMT1013,ORDMT-1013,Douglas,OR,43.05239,-122.8168,6/30/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,593,300,0,35,801,2.767210045,0.892820513,0.778323246,21,393,Chironomidae,255,Chironominae,169,3.9,13,188,1,3,65,4,41,9,118,3,19,9,458,6,112,18,8,8,207,6,101,7,85,4,74,3,19,0,0,7,282,3,255,0,1,0,0,1,26,33,754,2,47
168531,ORDMT-1017,2018ORDMT1017,ORDMT-1017,Douglas,OR,43.08004,-122.82,7/2/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,12.5,527,300,8,23,5708,1.962452907,0.754715719,0.625883121,16,1792,Chironomidae,3430,Orthocladiinae,2316,4.91,13,957,0,0,58,2,43,5,378,2,208,6,4273,5,589,13,5,5,865,4,465,7,462,2,249,1,43,0,0,3,3581,2,3430,0,0,0,0,0,11,22,5643,1,65
168532,ORDMT-1020,2018ORDMT1020,ORDMT-1020,Douglas,OR,43.05186,-122.8163,6/29/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,514,300,0,38,695,2.971116996,0.924994426,0.816782576,21,426,Chironomidae,142,Baetis,120,3.036666667,15,235,2,3,61,3,26,11,126,3,39,9,309,8,145,22,8,8,196,5,74,8,155,4,42,3,23,0,0,9,185,2,142,0,0,0,0,2,31,35,654,3,41
168533,ORDMT-9022,2018ORDMT1022,ORDMT-9022,Douglas,OR,43.0742,-122.8234,7/1/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,50,578,300,6,27,1570,2.766815087,0.926243032,0.839487875,20,936,Chironomidae,316,Orthocladiinae,186,3.106666667,12,607,0,0,57,2,16,7,445,2,46,6,619,7,334,15,5,5,378,4,280,11,278,2,159,1,8,0,0,3,343,2,316,0,0,0,0,1,88,25,1442,2,128
168534,ORDMT-1013,2018ORDMT9013,ORDMT-1013,Douglas,OR,43.05239,-122.8168,7/3/2018,Targeted Riffle,Kick net,NULL,NULL,0.74,100,100,800,300,0,32,1081,2.115145928,0.728182832,0.610302108,19,380,Chironomidae,555,Chironominae,495,4.023333333,16,246,0,0,62,2,126,9,136,1,4,8,677,9,108,16,7,7,176,4,46,8,158,3,43,2,4,0,0,6,568,3,555,0,1,0,24,1,8,29,996,3,82
168535,OREFA-1001,2018OREFA1001,East Fork Annie Creek,Klamath,OR,42.84003,-122.11756,9/9/2018,Targeted Riffle,Kick net,"Updated County from ""Siskiyou"" to ""Klamath""",NULL,0.74,100,100,395,300,0,22,534,1.706721136,0.616008919,0.552150662,16,499,Baetidae,312,Baetis,312,3.3,10,93,0,0,43,2,41,4,54,1,7,6,384,7,39,13,0,7,385,4,49,5,65,0,0,0,0,0,0,5,31,2,22,0,0,0,0,0,0,21,530,1,4
168536,OREFA-1003,2018OREFA1003,East Fork Annie Creek,Klamath,OR,42.85607,-122.13592,9/6/2018,Targeted Riffle,Kick net,"Updated County from ""Siskiyou"" to ""Klamath""",NULL,0.74,100,100,232,209,0,23,314,1.899348551,0.70923813,0.605757313,14,286,Baetidae,146,Baetis,146,2.598086124,9,68,1,1,55,3,46,3,39,1,8,5,162,8,55,8,0,5,158,4,31,5,97,0,0,0,0,0,0,7,20,2,8,0,0,0,3,0,0,21,307,2,7
168537,OREFA-1004,2018OREFA1004,East Fork Annie Creek,Klamath,OR,42.88762,-122.1322,9/10/2018,Targeted Riffle,Kick net,"Updated County from ""Siskiyou"" to ""Klamath""",NULL,0.74,100,37.5,736,300,9,25,2664,2.233869347,0.80787068,0.693990532,17,1955,Peltoperlidae,1051,Yoraperla,1051,1.426666667,13,459,1,11,58,3,1260,4,295,1,25,6,948,8,109,11,0,6,612,6,1268,5,75,0,0,0,0,0,0,5,324,2,231,0,0,0,166,0,0,22,2279,2,386
168538,OREFA-1005,2018OREFA1005,East Fork Annie Creek,Klamath,OR,42.84204,-122.13832,9/7/2018,Targeted Riffle,Kick net,"Updated County from ""Siskiyou"" to ""Klamath""",NULL,0.74,100,100,356,300,0,27,481,2.573364014,0.880512821,0.78079229,20,412,Baetidae,131,Baetis,131,2.67,15,126,0,0,48,3,101,3,35,0,8,5,254,12,61,14,0,9,239,7,120,4,53,0,0,0,0,0,0,4,45,1,35,0,0,0,12,0,0,24,457,2,24
